start,end,text
216.12,221.44," response and over-punishes people that shouldn't be punished in the first place, or predispose"
221.44,228.26, biases that they have no reason to be called out for. The conclusion of this argument is the motives of people's actions
228.26,231.64, are independent of the outcomes of said actions
231.64,236.46, and does not justify discriminating against predispositions
236.46,238.2, like the ones highlighted earlier.
238.32,241.76," Before going on to the second argument about why the call-out culture is counterproductive,"
242.1,243.62, why are motives important?
243.74,245.12, These people aren't being prosecuted.
245.3,247.46, This is about regulating what we think ethical speech is.
247.82,249.54," So, at the point of which we've proved already"
249.54,252.18," that there's principally, we should not punish them,"
252.52,253.56," principally on this basis,"
253.94,256.28, why is call-out culture counterproductive
256.28,257.62," in terms of outcomes,"
257.82,260.0, and why the same change in opposition we're trying to prove
260.0,261.92, won't exist in their world?
261.92,263.38, The premise of this argument
263.38,264.92, of why call-out culture is counterproductive
265.62,267.86, is given there are reasons for people to act
267.86,269.46," in politically incorrect ways,"
269.76,271.94, the lack of nuance in colonial culture
271.94,273.84, is ineffective in dealing with
273.84,275.78, the problems that are so pervasive
275.78,277.58, in our society today.
277.86,279.78," Note when someone is called out, what are"
279.78,281.92, the realistic responses that we
281.92,283.84, see on side proposition? We see
283.84,285.04, two responses. The
285.04,289.42, first is that there are wide range of responses but the commonality in much of
289.42,294.64, the responses is that it is human nature to be defensive. It is human nature to
294.64,299.86, have our subconscious protect our own specific interests and the cost of other
299.86,304.9, people's interests. We have prioritized what we view as sacred over someone else.
304.9,305.8, So now that
305.8,311.32," call-out culture is done in public, we intentionally aggravate someone else. The defensive instincts"
311.32,317.6," within human nature come at an exponential rate, something that opposition has in their world and"
317.6,323.48," becomes the default in dealing with, for example, consultations and confrontations in their side of"
323.48,328.04, the house. They need to tell us why people would have this defensive instinct that would push them
328.04,333.56, to cross the line even further in certain instances. This means it's highly likely
333.56,338.9," that people now respond in kind, a downward spiral of malicious and"
338.9,344.54," over displays of aggression. Secondly, although call-out culture is effective in"
344.54,345.76, trying to silence
345.76,350.34," people, they don't always change or don't often change the opinions of the very same"
350.34,354.88," people that you call malicious, the very same people that are destructive in their world."
355.08,359.72," What is more likely is you're probably going to get accusations levied against them, but"
359.72,371.64," what happens is they rally together. Racists can now rally together and say that they are the victims of society, the point at which day after day they get abused online or threats on the street."
371.94,377.44," All of them rally together as victims, attacked by politically correct society that is going out"
377.44,386.1, of their way to make sure that they could have a viable chance in society. What is the clear harm of this? The harm of this is that a polarizing
386.1,392.38, effect is created with concentrated bursts of vile attacks being levied against each other.
392.72,398.62," So on the comparative, we see that racists get far more entrenched in their ways, the point at"
398.62,403.5," which there's a lack of engagement, that lack of constructive engagement coming from their side of"
403.5,409.0," power. All they want to push for is telling you that you're racist and you're a terrible person,"
409.0,411.0, someone that I should never engage with.
411.0,415.0, What we would rather support is coming out in a private setting
415.0,419.0, with the emotion taken away from it
419.0,423.0, and start engaging with constructive matters that will help both sides.
423.0,427.1, How does this specific issue improve in our world?
427.38,433.32, Communicating with people privately as objective as possible means that it's far easier for the
433.32,438.78," message to sink in. That either wrong may be committed, but it's less damaging to your ego"
438.78,444.68, if one person goes up to you and tells you that they felt uncomfortable. What do they have to
444.68,445.48, defend in their wars?
445.7,449.86, They have to defend the myriad of Twitter wars that go against specific individuals.
450.32,455.08, Individuals that are not likely to change because you're visibly attacking everything
455.08,457.18, they principally stand for online.
457.46,462.26," This looks like, on our side, people are more likely to apologize on specific issues."
462.26,466.82, Because apologizing is far more reachableable the point at which you don't
466.82,472.94, attack them and prima facie attack and prominent attacks as well. Their side needs to tell us why
472.94,478.0," people would ever want to change the point at which they know that they will be attacked,"
478.36,481.8," they know they'll be attacked in droves, and they know that they won't be engaged with."
482.18,487.0, That is the realistic comparative that side opposition needs to push up.
487.0,490.0," They cannot tell us that people will somehow be silent,"
490.0,494.0, the point at which a silent minority can come up and form a group
494.0,498.0," that can actively tackle the specific groups of other,"
498.0,501.0, the specific opposition that exists against them.
501.0,504.0, It is crucial to not fight fire with fire
504.0,508.0, when you're trying to reach a constructive solution. So proud to propose.
512.0,518.0, What Proposition just spent eight minutes telling you is that when there is a wildfire we shouldn't react with a more aggressive
518.0,526.9," weiner, we should use a cup of water and hope that the flames are going to be doused. We don't think that that's how life works. We think that minorities live perpetually hard,"
527.1,528.74," perpetually disenfranchised,"
528.9,531.06, perpetually stripped of their dignity.
531.54,534.06, And what often happens then is that we put the blame on them.
534.06,537.2, We tell them that you reacting angrily is the inherent problem
537.2,539.38, to why you keep getting disempowered.
539.84,540.78, You shouldn't be angry.
541.1,542.44, You shouldn't have feelings.
542.74,545.54," Instead, bottle your feelings, sit down with your perpetrator"
545.54,548.34," and just hope, hope, hope that you can get into them."
548.34,549.5," We don't think that that's fair,"
549.5,550.48," we don't think that that works,"
550.48,552.38," but beyond that, we think that call-out culture"
552.38,553.52, is the one way we can make sure
553.52,556.58, that minorities meaningfully get empowered.
556.58,558.92, Let's talk about what are gonna give results.
558.92,561.34, The case that we present to you is the following.
561.34,563.24, And essentially the criteria here is
563.24,565.86, when do we think we regret a means of social justice?
566.26,568.12, What I'm going to bring to you in my speech is why we think
568.12,570.06, pro-life culture is a legitimate form
570.06,571.9," of justice, but more why we think it's more"
571.9,573.62, effective in protecting minorities.
573.9,576.1, Because they misrepresent the aims of pro-life culture here.
576.36,578.16, Pro-life culture does not exist to change
578.16,580.18, people's opinions. It exists to get
580.18,582.14," them out of the public sphere, but it can keep"
582.14,584.14," harming people. It exists to keep them up,"
584.14,588.3," right? In the same way that sometimes you can see that you might not change someone who's getting a life sentence,"
588.52,592.66," but at the very least they are out of that society and they can't keep harming those people,"
592.9,594.54," the two examples of how great, right?"
594.76,595.64, So that's what I'm going to give you.
595.64,598.86, I'm going to bring you further in the second page is how we think that polar culture
598.86,603.66, is specifically impacting in terms of social interaction stretching beyond the specific minority.
603.66,607.48," But before that, let's first do some clear up, right? First in terms of social interaction stretching beyond the specific minority. But before that, let's first just do some clear up, right?"
607.74,613.12," First in terms of polar culture, because what they do here is conveniently pick the worst version of polar culture"
613.12,614.18, and try to force us to defend that.
614.36,616.48, We don't think that's what polar culture looks like.
616.84,619.76," We have to consider to a degree that polar culture has a lot of anger,"
619.88,624.22, and it has a lot of people who are essentially just angry about their situation.
624.22,627.26, They're not going to defend anything that they're justified in having that anger.
627.48,629.52, But we have to recognize that it exists on a spectrum.
629.86,633.08, It's everything from reporting someone on Instagram for an offensive post
633.08,634.4, all the way to that anger.
634.5,637.68, We don't think that people automatically just jump to that anger.
637.92,642.22, Important context is that it's often proportional to the harm that's been done.
642.22,644.28," So people say really bad things,"
644.48,645.34, like Milo Annapolis
645.34,651.22," saying that Grace Jones is a gorilla, are things that get very bad reactions. But some guy, like"
651.22,655.88," who we don't really know, saying I might not like black people, is not likely to get as widespread,"
656.24,661.18," as violent, as much of a reaction. Polar culture does not just exist jumping to the end of the"
661.18,665.14," spectrum. It works specifically in accordance with the harm being done, right?"
665.26,669.36," The second thing that they try to tell you, specifically in setup, is that they prefer a one-on-one interaction."
669.7,672.72," They prefer an amicable kind of way to reach a solution, right?"
673.0,675.68," We don't think that this is something that usually works specifically,"
675.88,680.68, because what often happens in that amicable solution is that people still believe that they are in the right.
681.0,688.4," That's what often happened with rape campaigns, when people were told that you probably shouldn't rape people, and that no, they're not asking for it, and it"
688.4,693.14, was essentially amicable pleading to end rape. It doesn't work. It has never worked. Rape
693.14,698.12," is still a massive problem, but specifically in light of all those protests, rape continued"
698.12,702.64," to rise, right? We think that these are problems that are indemnity perpetrators, and trying"
702.64,706.18, to appeal to them amicably doesn't deal with the fact that those problems are indemnity.
706.56,708.22, Now let's talk about the matter
708.22,709.96," that they give you. They tell you, firstly,"
710.14,712.08, that it's not justified
712.08,714.06, because you're attacking someone for their
714.06,716.02, predisposition over which they have
716.02,718.18, no control. No deal that they also choose to defend
718.18,720.04, the best of people who just don't
720.04,722.06, know what they're doing. At no point do they talk about
722.06,724.18, people who actually know that they might just hurt
724.18,728.26," all the black people in America with their words, right? But moreover,"
728.34,731.54," at no point do they tell us why this predisposition is something that's justified, right?"
731.54,735.76," We punish people for predispositions a lot. We punish people who are psychopathic for killing,"
735.88,739.86, even though it's not really your fault. And that's because we judge the harm of an action
739.86,743.72," on the harm itself instead of judge the perpetrator who did it, right? We think"
743.72,746.7, that it is just to judge on predispositions
746.7,750.7, because they bear as much harm as someone who could have been doing it on purpose.
750.7,752.2, We don't think that that argument is that.
752.2,755.0," But moreover, they try to tell you that it's counterproductive."
755.0,757.3, I'm already terrified how they misrepresented those aims.
757.3,761.3, I'm going to tell you why they specifically fulfilled those aims later in my matter.
761.3,762.5, But they give you two things here.
762.5,768.6," That one, it leads to a downward spiral of aggression where you can never get any good outcomes. We don't think this is true, right?"
768.6,772.6, We have to accept that in some instances that there may be aggression. But we don't know
772.6,776.6, what often happens that there's actual room for discourse. It looks like things like Trevor
776.6,781.0, Noah on The Daily Show saying that the Heineken advert where the bottle miraculously passed
781.0,785.64," three black people is something that's racist, that we shouldn't accept, that leads to discourse and the withdrawal"
785.64,788.12, of an average. Things that can lead to tangible
788.12,789.96," outcomes, those outcomes being the"
789.96,792.02, removal of offensive things from the public sphere
792.02,793.86, of life. We don't think that this downward spiral
793.86,795.82, is something that's inherent to call out culture.
796.08,798.0," But even if it was, we think that it's something that is"
798.0,799.9, justified specifically in terms of how
799.9,801.66, minorities choose to interact with people.
802.26,804.0, Having operated from a
804.0,806.14," position of disadvantage for so long,"
806.2,808.1, we think that it is justified that they are angry.
808.24,810.02, We think that it is justified that they express
810.02,811.74, their anger. People who have been silenced
811.74,814.18, for as long as civilization has been accepted
814.18,816.14, are justified
816.14,818.02, in expressing the kind of anger that they
818.02,819.88, build up. The next thing that they tell you here is that
819.88,822.32," you don't really change anyone,"
822.46,823.68, but that they rally themselves
823.68,825.16," together as victims, right? We do think that they do that, but that they rally themselves together as victims."
825.36,828.58," We do think that they do that, but that doesn't mean we start accepting that they're right."
828.98,831.88," It looks like the KKK rallying themselves together,"
832.0,835.68," but at no point did anyone say, oh, that's call-out culture's fault, let's stop call-out culture."
836.06,840.46, We often begin to understand them as a group and understand their age.
840.46,843.74," It looks like things like Katie Hopkins putting a target on her head and saying,"
843.84,847.44," this is how it feels to be a white conservative woman in a new age, right? And"
847.44,850.88, people literally saying that's the perfect metaphor because the target is fake and you
850.88,854.3," put it there yourself, right? In that we are able to judge these groups even after they"
854.3,858.4," ran to themselves, we are able to call them out, it doesn't diffuse Kholat culture in"
858.4,861.88," any way. So what you're getting from my rebuttal is that one, it is something that becomes"
861.88,868.56," a just metric of justice, but moreover, even that is something that, aside from not leading to the harm that they give you, can"
868.56,873.54," actually fulfil its aims. Now let's talk about why we think it is just, and specifically"
873.54,876.72," that critical minorities, these points are intertwined. Before that, yeah."
876.86,880.96, So if the main aim of call-out culture is to ensure people don't say or carry out harmful
880.96,885.76," actions, would you support physical intimidation as an effective method of ensuring this is an occurrence?"
886.06,887.9," No, right? Physical intimidation"
887.9,889.88, is something that's done before that. But we think
889.88,891.52, that call-out culture is specifically
891.52,894.06, in terms of trying to address the harms
894.06,896.04," that have been perpetrated onto people, but in"
896.04,897.96, a way that is proportional to what they are saying.
898.24,899.66, We're not just going to physically intimidate
899.66,901.7, everyone we think is saying the wrong thing.
901.88,903.96, It's something that is proportional to what is being done
903.96,905.98," and that harm is endemic to words, can be dealt"
905.98,907.98," with in words. So, why do we think"
907.98,909.96, that colonial culture is essential to the liberation
909.96,912.04," of minorities? And this is central to the debate,"
912.16,914.02, because colonial culture exists to protect
914.02,915.96, minorities in removing harmful
915.96,917.76," things from the public sphere of life, right?"
917.8,920.08," But we think that moreover, they are the most important people in this"
920.08,921.66," debate, on the basis of historical"
921.66,923.82," and current vulnerability, that they're not treated"
923.82,926.0, with equal respect to anyone else.
926.0,928.0, This makes them the people we have to evaluate.
928.0,932.0, The side that's going to win this is the side that proves how color culture actually affects minorities.
932.0,934.0, Let's talk about how we previously engaged victims.
934.0,936.0, And here are two important things.
936.0,938.0," One, it was often very amicable to perpetrators."
938.0,941.0, It used to be very nice to them and beg them to change.
941.0,944.0," But moreover, it put the onus on the victims to then change."
944.0,949.04," It's traditions like ironing women's breasts flat in hopes that they don't get raped, right? A lot of"
949.04,954.16, the onus is put on victims to make sure that crimes aren't perpetuated onto them and that
954.16,958.62, harmful sentiments don't affect them. What colon culture did was make the problem endemic
958.62,963.22, to the person who is the problem. It's things like men are trash saying that men are actually
963.22,966.0," the problem because men are the people who actually rape women, right?"
966.0,971.0, Colour culture is essential to that. But the rise of it means that people are a lot more comfortable in saying that out loud.
971.0,979.0, It means that the bottlenecking of expression that minorities have had to face for so long is something that becomes less and less normalised because colour culture is rising.
979.0,986.78," Colour culture is becoming an inherent part of that society. What we think that it does is it makes that expression of justice easier for minorities,"
986.92,989.98, that they can react in a way that allows them to express what they are feeling
989.98,992.84," and give them that which they had been denied for so long,"
992.9,995.8, but we think that more of it is something that can begin to uniquely protect them
995.8,997.54, by silencing those who harm them.
997.68,1001.12," And on that basis, we think that call-out culture is essential to the sphere of life."
1005.4,1007.88," If we look back at the birth of call-out culture,"
1008.16,1011.32," retrospectively, if we took a different approach to solving the problem,"
1011.6,1015.22," by flooding the media with information regarding mental health, privilege,"
1015.54,1017.4," and why people should be sensitive towards it,"
1017.62,1020.64, I think it's reasonable to believe that for some individuals
1020.64,1022.72," that were predisposed to say offensive things,"
1022.72,1029.52," they would have introspected inside Proposition's model. However, it's shameful that there was little to no response on this"
1029.52,1034.14, characterisation and this line of thinking from the speaker before me. We expect to hear
1034.14,1039.12, one later. We've been able to prove from Prime Minister to a reasonable extent there is a
1039.12,1044.06, likelihood of call-in culture and constructive discussion changing the narratives and perceptions
1044.06,1050.42," of individuals that were ignorant, had one-off negative experiences, or were indoctrinated and just need a counter-narrative"
1050.42,1054.66," towards the negative experiences that they have faced. And more importantly, even if"
1054.66,1058.46," this wasn't true, and the levels of offence would still exist under both circumstances,"
1058.72,1062.66," in Prime Minister we have been able to establish that you don't reduce the levels of discrimination,"
1063.14,1069.7, you rather polarise it and move it to areas where individuals can group up together and offer short bursts of
1069.7,1074.72," offence, which is likely to be even more harmful, even if this wasn't true, the general levels"
1074.72,1079.74," of racism increase, because people group together, those that were racist to a minor degree at"
1079.74,1082.44," the beginning, get affirmation from those at the top."
1082.44,1087.44, We are not putting a cup of water on a fire. We'd rather think of it as a stream of continuous water
1087.44,1091.22, that encourages people to check their privilege and racism at some point.
1091.3,1093.54, You are the guys that are putting a fire with another fire.
1093.84,1094.78," Fire is bad, right?"
1095.06,1097.08, You're toxic and you're manipulating individuals.
1097.48,1099.02, And it's call-out culture is negative.
1099.12,1102.36, So I want to make some responses to what I want with positive contribution.
1102.5,1104.8," My argument is going to be why call-out culture is likely to be toxic,"
1105.92,1107.92," why there's reasons for it moving in that direction, regardless"
1107.92,1109.82, of how side government or opposition wants to
1109.82,1111.8," make it out. Before that, a few levels of response."
1111.96,1113.74," Firstly, what are the aims of call-out culture?"
1113.86,1115.64," The rationale here, apparently from opposition,"
1115.94,1117.88, is that it's not to change the thoughts
1117.88,1119.88," of a person, but to remove them from that"
1119.88,1121.92, discussion entirely. That's when
1121.92,1124.1, we POI'd them regarding physical intimidation.
1124.38,1129.24," Their response was, it must be proportional. If it must be proportional, then you must also acknowledge"
1129.24,1134.1," from Prime Minister that in a proportional effect, call-out culture doesn't acknowledge the nuances"
1134.1,1139.7," behind a person's thoughts, the nuances behind a person's actions, verbal offense and verbal"
1139.7,1144.26," damage. What does acknowledge that and is proportional, however, is call-in culture,"
1144.44,1148.88," private discussions, constructive discussions. You are the guys that are over-punishing individuals"
1148.88,1153.52, for things that are beyond their control. Proportionality doesn't stand with them.
1153.7,1157.48," But more importantly, it doesn't even achieve the aim of removing people from that discussion."
1157.78,1162.12, There was no response towards the polarization that is likely to occur. So the aim of call-out
1162.12,1165.1," culture does not achieve its goals. Secondly,"
1165.28,1168.8, what does call-out culture look like? Apparently there's a range of things that call-out culture
1168.8,1173.78," adheres to. I agree, it could go from something like reporting someone on Instagram to calling"
1173.78,1178.06," someone out and being as vicious and angry as possible to their face. The problem is,"
1178.12,1183.0," as much as opposition wants to cop out, they have to accept that to be more effective,"
1183.78,1185.28," an action is more effective,"
1185.54,1187.64, the more emotionally charged it is.
1187.82,1189.72, So when is reporting someone on Instagram
1189.72,1191.46, ever created any effects?
1191.66,1194.94," If you argue that some actions are less damaging,"
1195.08,1196.16," then they also, in principle,"
1196.42,1198.9, have less effect of achieving the aims you say they do.
1199.08,1201.68," So at best, side opposition must defend a world"
1201.68,1203.94, where the most effective forms of color culture
1203.94,1205.52," are vicious, angry,"
1205.9,1209.92," born out of hatred, because these are the ones that achieve the aims they say they do."
1210.16,1214.98," Thirdly, let's look at whether it's alright to judge someone based on predispositions."
1215.26,1219.3, The analysis of the speaker before me is that it's fine to assume someone's intent
1219.3,1223.56," because the damage has already been done, regardless of whether they're inherently racist"
1223.56,1227.3, or they just have negative experiences that have pushed them to do this.
1227.48,1230.72, This is unfair and unjust as illustrated by Prime Minister.
1231.0,1234.84, Because people have differing ranges of stories that motivate their harmful acts.
1234.84,1240.98," If it is true that we can acknowledge and are more likely to deal with this in a constructive manner under our will,"
1241.1,1243.56, we don't need to judge people on their predispositions.
1243.68,1249.06, We can act in according to dealing with those predispositions in a constructive manner on our side.
1249.22,1253.7," Sir, what you're telling us and what your Prime Minister told us is what existed prior"
1253.7,1257.76," to call-out culture. We saw absolutely no changes, which is what created call-out culture"
1257.76,1258.54, in the first place.
1258.74,1263.82," No, you don't get it. So if call-out culture, when call-out culture was born, it reduced"
1263.82,1266.4, the effectivity of all of these mechanisms.
1266.8,1269.94," And I would argue, after the point in which Kola culture was manifested,"
1270.28,1275.4, the amount of people that would have otherwise checked their racism and checked their privilege would reduce in your world.
1275.6,1279.38," So retrospectively, we would be reducing the amount of people that would have created this harm."
1279.6,1282.92," Last point of response is, is it fair to put the odours on the victims?"
1283.02,1288.6," The argument, I'll be quite late from the speaker before me, is that now we put the attention on the aggressor more"
1288.6,1292.76," than putting the attention on the victims. We want, I think this debate does not extend"
1292.76,1298.24," to criminal offences like rape, sexual assault, because this is about offence that individuals"
1298.24,1302.84, carry out in a verbal conversation. Rape is something that we still prosecute in our world.
1302.94,1305.7, We're all for information regarding it. People will be able
1305.7,1307.2, to derive whatever they want
1307.2,1308.14, from that criminal case.
1308.42,1309.3," But more importantly,"
1309.7,1310.5, it's more likely
1310.5,1311.8, that victims are victimized
1311.8,1312.52, in your world
1312.52,1313.42, because when you create
1313.42,1314.68, this polarized argument
1314.68,1316.48, between whether sexism
1316.48,1316.88," is alright,"
1316.94,1317.86," whether racism is alright,"
1318.1,1318.86, oftentimes victims
1318.86,1319.58, are the only ones
1319.58,1320.62, that are caught in the crossfire
1320.62,1321.62, because when individuals
1321.62,1323.02," are forced to be more defensive,"
1323.4,1324.3," forced to be more aggressive,"
1324.62,1329.62," they carry out more, they illustrate languages that are even more discriminatory in nature,"
1329.7,1332.68," that are even more aggressive, because the human nature is just to defend themselves"
1332.68,1336.5," and to protect themselves. And thirdly, most importantly, as a response to this, there's"
1336.5,1340.68," an expectation of support, especially from victims. So we would argue in a world where"
1340.68,1344.94," we didn't have call-out culture, individuals would be able to amend to some degree the"
1344.94,1348.52," amount of psychological harm that they'd have, or just push it off and brush it"
1348.52,1352.24," off themselves. But in your world, there's an expectation of that support, which isn't"
1352.24,1356.68," oftentimes met, and it's oftentimes met with even more discrimination, even more bigotry,"
1356.68,1361.32, and we don't want to affirm that level of security when we can't guarantee it for those
1361.32,1367.38," victims. No thank you. Why do we guarantee, what's my argument? Why call-out culture is likely to be toxic? We've already established that"
1367.38,1371.16, call-out culture is likely to polarize communities and create big differences
1371.16,1375.36, in terms of ideologies. Why does this become worse? The first harm is that in a
1375.36,1379.12," verbal fight, it's hard to regulate and it's hard to hold individuals"
1379.12,1382.52, accountable to their actions. There are three reasons why this is likely. When
1382.52,1387.16," people are attacked, they often respond with counter-arguments. And if they can't, they often result into"
1387.16,1391.26," ad hominem attacks. That means attacking the person, not attacking the argument. And we"
1391.26,1395.22," think it's abhorrent that the ways we deal with discrimination, and it's likely to occur"
1395.22,1399.66," inside opposition, is that we deal with racism by offending the appearance of a person, by"
1399.66,1403.66, offending the weight of a person. Because when individuals don't have counter-arguments
1403.66,1409.0," in that discussion that cannot be regulated, they often move into offending the character of an individual."
1409.32,1413.3, This can work both sides from an aggressor or a person who's defending that individual.
1413.74,1418.12," But secondly, it's more likely to occur unintentionally because people are filled with rage, filled"
1418.12,1422.1," with anger, and at the spur of the moment, they're more likely to give out opinions that"
1422.1,1423.58, are offensive and disheartening.
1423.92,1424.34, Yashar?
1424.56,1428.08," Judge, I think people with enough of an internet connection to post offensive things"
1428.08,1430.5, can't find information to the contrary of what they need?
1431.82,1433.14, People have information outside.
1433.14,1434.2, I don't get the point of that POI.
1434.3,1436.28," So in your world, you'd offend people and that's harmful, right?"
1436.78,1437.88," Okay, so third level."
1438.14,1440.38, There's a herd mentality when it comes to discrimination.
1440.74,1442.78," So oftentimes when it comes to organized groups,"
1443.02,1448.7, there's a level of herd mentality that's expected of a person. So you're only a feminist if you take a jab at a man. You're only
1448.7,1454.52, an individual who's liberal if you participate in that level of toxic push off your current ideals.
1454.78,1458.62," And when someone instigates this level of hurt mentality, it's very hard to be sucked out of it"
1458.62,1463.38," in a world where it's expected of you as a person. But secondly, on a second level, we think"
1463.38,1468.66," individuals that are silenced are likely to react to three different harmful outcomes. One, they will move into insidious"
1468.66,1472.5," discrimination. When it's out of the argument in places like employment, they are likely,"
1472.68,1476.88," because they are confronted about their racism on a psychological level, they won't give"
1476.88,1480.36," promotions to women, they won't hire women, and it's very hard to call this out because"
1480.36,1484.26," it's very subjective in nature. Two, they will move into microaggressions when it comes"
1484.26,1486.0, to things like just clutching your handbag
1486.0,1488.0, when you're around a specific group.
1488.0,1490.0," Thirdly and most importantly, people move into violence."
1490.0,1494.0," This is like Elliot Rodgers, a member of the incel movement, going on a shooting spree"
1494.0,1497.0, because he thought no one from the politically correct world would understand him.
1497.0,1500.0, All of these harms are mitigatable under side government.
1500.0,1506.58, You just need to engage the people in the right nuances.
1510.8,1510.96," From the offset, we emphasise that this debate is about the victims of hate."
1513.74,1513.94," From the offset, we emphasise that this is about black people."
1515.16,1515.18, This is about homosexuals.
1517.7,1522.18, This is about the groups in society that are the most vulnerable and are disproportionately disadvantaged in terms of how societal discourse plays out
1522.18,1524.7, and in terms of how much power they have to defend themselves.
1524.7,1527.94, We told you from the offset that the purpose of call and culture is to
1527.94,1531.54," defend these people, and that ought to be what the core of this debate is about."
1531.54,1534.76, Side proposition lives in a world in which they would prioritise a 70-year-old white
1534.76,1540.0, man who requires counselling as opposed to the magnitude of harm that is done to the
1540.0,1542.2, minorities that he offends.
1542.2,1544.76," So ladies and gentlemen, what am I going to be proving to you in my speech? I'm going"
1544.76,1546.62, to be proving to you that even if we concede to that
1546.62,1550.26, framework of this debate being about utility and changing these people we are
1550.26,1554.16, still better but in addition to that why we are better for social discourse. So
1554.16,1557.78, why exactly? Before I move on to that let's deal with some issues of rebuttal. The first
1557.78,1561.16, thing that we need to attack is their model. Their model is a call-in culture
1561.16,1564.12, approach in which you have one-on-one discussions between the people who
1564.12,1568.42," committed the act and the person who was affected. From the outset, we have questioned"
1568.42,1572.74," exactly how harmful this is going to be, because what they would do is put Milo Yiannopoulos"
1572.74,1577.02, in a room with Leslie Jones and have ten minutes to completely rip her pot. We told you very
1577.02,1580.96, specifically why there is a disproportionate power imbalance in terms of how these interactions
1580.96,1584.62," play out, and that's why call-in culture was necessary, because it was societal backing"
1584.62,1586.14, to something that you deserve.
1586.5,1587.98," Secondly, we tell you that"
1587.98,1589.98, we respond to the idea that call-out
1589.98,1592.0, culture was unjustified because people are likely
1592.0,1593.92, to have experiences in life that
1593.92,1596.02, creep English in them to think in a certain
1596.02,1597.84," way. We give you several responses. Firstly,"
1597.94,1599.98, we told you that we don't use predispositions
1599.98,1602.1, as a reason to justify what is obviously
1602.1,1604.02," harmful actions. Secondly, we told"
1604.02,1605.7," you that in a world of information,"
1605.92,1608.62," you respond, you are likely to have access to opposing views."
1608.7,1610.82, But it is unrealistic to say that you don't have any access
1610.82,1613.94, or interaction with people of the people that you are hurting.
1614.18,1615.74," And thirdly, let's just do a comparative."
1616.04,1619.04, Do we comparatively prioritize the ability for that man
1619.04,1623.64, who has possibly grew up in a racist household
1623.64,1626.66, to the complete harm to dignity of the people that he offends.
1626.74,1628.96, What is that harm to dignity and why is it so damaging?
1629.18,1632.34, Because it inherently attacks you on things you cannot control.
1632.46,1634.2," It says that because you are black, you are a guerrilla,"
1634.44,1637.94," that you are unsuitable for participating in any modern part,"
1637.98,1640.88," in any part of civic society, and that harm is great."
1640.88,1644.28," It is undermining, it is especially vicious."
1644.42,1646.04, We said we think that we prioritise
1646.04,1649.8," those people. But even if it was about those people, we think that we are comparatively"
